Sentence #	Word	POS	Tag
Sentence: 15	Só	ADV	O
	prejuízo	NOUN	O
	,	PUNCT	O
	estou	AUX	O
	super	ADJ	O
	insatisfeita	ADJ	O
	com	ADP	O
	a	DET	O
	compra	NOUN	O
	.	PUNCT	O
Sentence: 16	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Este	DET	O
	celular	NOUN	O
	é	AUX	O
	muito	ADV	O
	fácil	ADJ	B-asp
	de	SCONJ	I-asp
	mexer	VERB	I-asp
	,	PUNCT	O
	o	DET	O
	touch	PROPN	B-asp
	dele	PRON	O
	é	AUX	O
	bem	ADV	O
	sensível	ADJ	O
	.	PUNCT	O
Sentence: 17	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Bateria	NOUN	O
	que	PRON	O
	não	ADV	O
	dura	VERB	O
	,	PUNCT	O
	touch	NOUN	B-asp
	travado	VERB	O
	,	PUNCT	O
	aplicativos	NOUN	B-asp
	e	CCONJ	O
	internet	PROPN	B-asp
	que	PRON	O
	caem	VERB	O
	a	ADP	O
	todo	DET	O
	momento	NOUN	O
Sentence: 18	NAO	PROPN	O
	VALE	PROPN	O
	A	DET	O
	PENA	NOUN	O
	.	PUNCT	O
Sentence: 19	Eu	PRON	O
	tinha	VERB	O
	um	NUM	O
	N70	NOUN	O
	que	PRON	O
	dava	VERB	O
	de	ADP	O
	10	NUM	O
	a	ADP	O
	0	NUM	O
	neste	ADP	O
	modelo	NOUN	B-asp
	.	PUNCT	O
Sentence: 20	Pelo	ADP	O
	preço	NOUN	B-asp
	e	CCONJ	O
	os	DET	O
	recursos	NOUN	B-asp
	a	DET	O
	pessoa	NOUN	O
	fica	VERB	O
	iludida	ADJ	O
	pensando	VERB	O
	que	SCONJ	O
	é	AUX	O
	bom	ADJ	O
	negocio	NOUN	O
	-	PUNCT	O
	NAO	PROPN	O
	É	PROPN	O
	!	PUNCT	O
	!	PUNCT	O
	!	PUNCT	O
Sentence: 21	Se	SCONJ	O
	a	DET	O
	Nokia	PROPN	O
	mudar	VERB	O
	para	ADP	O
	modelos	NOUN	O
	assim	ADV	O
	,	PUNCT	O
	perderá	VERB	O
	sua	DET	O
	liderança	NOUN	O
	.	PUNCT	O
Sentence: 22	Aos	ADP	O
	teimosos	NOUN	O
	(	PUNCT	O
	como	ADP	O
	eu	PRON	O
	)	PUNCT	O
	desejo	NOUN	O
	melhor	ADJ	O
	sorte	NOUN	O
	.	PUNCT	O
Sentence: 23	 	SPACE	O
	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Design	NOUN	O
	,	PUNCT	O
	preço	NOUN	B-asp
	,	PUNCT	O
	qualidade	NOUN	B-asp
	do	ADP	I-asp
	audio	NOUN	I-asp
	,	PUNCT	O
	wireless	PROPN	B-asp
	.	PUNCT	O
Sentence: 24	 	SPACE	O
	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Bateria	NOUN	B-asp
	dura	VERB	O
	pouco	ADV	O
	em	ADP	O
	relacao	NOUN	O
	a	ADP	O
	outros	DET	O
	modelos	NOUN	O
	(	PUNCT	O
	nao	ADV	O
	chega	VERB	O
	a	ADP	O
	7	NUM	O
	dias	NOUN	O
	)	PUNCT	O
	,	PUNCT	O
	A	DET	O
	CAMERA	PROPN	O
	TRAVA	PROPN	O
	CONSTANTEMENTE	PROPN	O
	normalizando	VERB	O
	apenas	ADV	O
	quando	ADV	O
	removida	VERB	O
	a	DET	O
	bateria	NOUN	B-asp
	,	PUNCT	O
	o	DET	O
	bluetooth	NOUN	B-asp
	para	ADP	O
	uso	NOUN	O
	com	ADP	O
	auto-radio	NOUN	O
	(	PUNCT	O
	viva-voz	NOUN	O
	)	PUNCT	O
	com	ADP	O
	muito	ADV	O
	ruido	NOUN	O
	,	PUNCT	O
	as	DET	O
	fotos	NOUN	B-asp
	sao	AUX	O
	de	ADP	O
	pessima	ADJ	O
	qualidade	NOUN	O
	-	PUNCT	O
	principalmente	ADV	O
	a	DET	O
	noite	NOUN	O
	-	PUNCT	O
	parece	VERB	O
	aquarela	NOUN	O
	.	PUNCT	O
Sentence: 25	Acho	VERB	O
	que	SCONJ	O
	uma	DET	O
	empresa	NOUN	B-asp
	que	PRON	O
	se	PRON	O
	submete	VERB	O
	a	SCONJ	O
	utilizar	VERB	O
	a	DET	O
	internet	PROPN	O
	como	ADP	O
	meio	NOUN	O
	entre	ADP	O
	ela	PRON	O
	e	CCONJ	O
	seu	DET	O
	cliente	NOUN	O
	,	PUNCT	O
	deve	VERB	O
	agir	VERB	O
	de	ADP	O
	maneira	NOUN	O
	rápida	ADJ	O
	,	PUNCT	O
	pois	SCONJ	O
	é	AUX	O
	isso	PRON	O
	que	SCONJ	O
	procuramos	VERB	O
	na	ADP	O
	internet	NOUN	O
	.	PUNCT	O
Sentence: 26	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	O	DET	O
	produto	NOUN	B-asp
	deve	VERB	O
	ser	AUX	O
	bom	ADJ	O
	mas	CCONJ	O
	a	DET	O
	Miame	PROPN	O
	Express	PROPN	O
	não	ADV	O
	entrega	VERB	O
	!	PUNCT	O
Sentence: 27	Pelo	ADP	O
	menos	NOUN	O
	faz	VERB	O
	uma	NUM	O
	semana	NOUN	O
	que	PRON	O
	comprei	VERB	O
	...	PUNCT	O
Sentence: 28	Mais	ADV	O
	que	SCONJ	O
	isso	PRON	O
	!	PUNCT	O
Sentence: 29	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	O	DET	O
	fato	NOUN	O
	de	SCONJ	O
	não	ADV	O
	consegui	VERB	O
	usá-lo	VERB	B-asp
	.	PUNCT	O
Sentence: 30	Diferente	ADV	O
	desses	ADP	O
	produtos	NOUN	O
	importados	VERB	O
	da	ADP	O
	China	PROPN	O
	que	PRON	O
	não	ADV	O
	são	AUX	O
	homologados	VERB	O
	pela	ADP	O
	Anatel	PROPN	O
	e	CCONJ	O
	a	DET	O
	carga	NOUN	O
	é	AUX	O
	tão	ADV	O
	ruim	ADJ	O
	que	SCONJ	O
	precisam	VERB	O
	de	ADP	O
	duas	NUM	O
	baterias	NOUN	O
	(	PUNCT	O
	como	SCONJ	O
	se	SCONJ	O
	fosse	AUX	O
	grande	ADJ	O
	coisa	NOUN	O
	)	PUNCT	O
	,	PUNCT	O
	este	PRON	O
	possui	VERB	O
	todas	DET	O
	as	DET	O
	funções	NOUN	B-asp
	básicas	ADJ	O
	que	PRON	O
	um	DET	O
	celular	NOUN	O
	precisa	VERB	O
	ter	VERB	O
	,	PUNCT	O
	exceto	ADP	O
	a	DET	O
	TV	NOUN	O
	...	PUNCT	O
Sentence: 31	Possui	VERB	O
	rádio	NOUN	O
	FM	PROPN	O
	,	PUNCT	O
	MP3	PROPN	O
	,	PUNCT	O
	a	DET	O
	câmera	NOUN	O
	,	PUNCT	O
	acreditem	VERB	O
	,	PUNCT	O
	tem	VERB	O
	ótima	ADJ	O
	resolução	NOUN	O
	se	PRON	O
	considerarmos	VERB	O
	a	DET	O
	proporcionalidade	NOUN	O
	em	ADP	O
	relação	NOUN	O
	a	ADP	O
	outras	PRON	O
	(	PUNCT	O
	3.2	NUM	O
	)	PUNCT	O
	e	CCONJ	O
	a	DET	O
	bateria	NOUN	B-asp
	...	PUNCT	O
	...	PUNCT	O
Sentence: 32	apenas	ADV	O
	UMA	NUM	O
	,	PUNCT	O
	mas	CCONJ	O
	com	ADP	O
	a	DET	O
	carga	NOUN	O
	superior	ADJ	O
	em	ADP	O
	relação	NOUN	O
	a	ADP	O
	esses	DET	O
	importados	NOUN	O
	.	PUNCT	O
Sentence: 33	E	CCONJ	O
	ainda	ADV	O
	conta	VERB	O
	com	ADP	O
	dois	NUM	O
	chips	NOUN	B-asp
	que	PRON	O
	,	PUNCT	O
	também	ADV	O
	diferente	ADJ	O
	desses	ADP	O
	chineses	NOUN	O
	,	PUNCT	O
	ambos	PRON	O
	funcionam	VERB	O
	com	ADP	O
	ótima	ADJ	O
	frequência	NOUN	O
	e	CCONJ	O
	sem	ADP	O
	chiado	NOUN	O
	...	PUNCT	O
Sentence: 34	Caso	SCONJ	O
	um	NUM	O
	deles	PRON	O
	se	PRON	O
	apresente	VERB	O
	com	ADP	O
	baixo	ADJ	O
	sinal	NOUN	B-asp
	,	PUNCT	O
	basta	VERB	O
	"	PUNCT	O
	fechar	VERB	O
	"	PUNCT	O
	o	DET	O
	outro	DET	O
	chip	NOUN	O
	no	ADP	O
	menu	NOUN	O
	de	ADP	O
	ferramentas	NOUN	O
	e	CCONJ	O
	o	DET	O
	sinal	NOUN	B-asp
	do	ADP	O
	outro	DET	O
	melhora	NOUN	O
	instantaneamente	ADV	O
	...	PUNCT	O
Sentence: 35	Foi	AUX	O
	comprando	VERB	O
	um	NUM	O
	desses	ADP	O
	importados	NOUN	O
	que	PRON	O
	descobri	VERB	O
	que	SCONJ	O
	o	DET	O
	barato	NOUN	O
	sai	VERB	O
	caro	ADJ	O
	...	PUNCT	O
Sentence: 36	E	CCONJ	O
	como	ADV	O
	as	DET	O
	outras	DET	O
	empresas	NOUN	O
	ainda	ADV	O
	não	ADV	O
	se	PRON	O
	tocaram	VERB	O
	em	ADP	O
	relação	NOUN	O
	aos	ADP	O
	celulares	NOUN	O
	de	ADP	O
	dois	NUM	O
	chips	NOUN	B-asp
	,	PUNCT	O
	mantendo	VERB	O
	os	DET	O
	preços	NOUN	O
	enormes	ADJ	O
	por	ADP	O
	causa	NOUN	O
	disso	PRON	O
	,	PUNCT	O
	este	PRON	O
	é	AUX	O
	um	DET	O
	ótimo	ADJ	O
	concorrente	NOUN	O
	,	PUNCT	O
	já	SCONJ	O
	que	SCONJ	O
	seu	DET	O
	preço	NOUN	B-asp
	é	AUX	O
	inferior	ADJ	O
	aos	ADP	O
	nacionais	NOUN	O
	homologados	VERB	O
	.	PUNCT	O
Sentence: 37	Ótimo	ADJ	O
	custo-benefício	NOUN	B-asp
	!	PUNCT	O
Sentence: 38	 	SPACE	O
	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Tudo	PRON	O
	 	SPACE	O
	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Nada	PRON	O
Sentence: 39	O	DET	O
	mais	ADV	O
	importante	ADJ	O
	a	SCONJ	O
	dizer	VERB	O
	é	AUX	O
	sobre	ADP	O
	a	DET	O
	Loja	PROPN	O
	Eletroni	PROPN	O
	.	PUNCT	O
Sentence: 40	Comprei	VERB	O
	lá	ADV	O
	pelo	ADP	O
	preço	NOUN	B-asp
	e	CCONJ	O
	pelos	ADP	O
	comentários	NOUN	O
	de	ADP	O
	outros	DET	O
	compradores	NOUN	O
	,	PUNCT	O
	que	PRON	O
	não	ADV	O
	eram	AUX	O
	muito	ADV	O
	recomendadores	ADJ	O
	,	PUNCT	O
	porém	CCONJ	O
	quis	VERB	O
	arriscar	VERB	O
	.	PUNCT	O
Sentence: 41	Só	ADV	O
	que	SCONJ	O
	:	PUNCT	O
	1	NUM	O
	.	PUNCT	O
Sentence: 42	demorou	VERB	O
	13	NUM	O
	dias	NOUN	O
	corridos	ADJ	O
	para	SCONJ	O
	chegar	VERB	O
	;	PUNCT	O
	2	NUM	O
	.	PUNCT	O
Sentence: 43	o	DET	O
	produto	NOUN	B-asp
	veio	VERB	O
	com	ADP	O
	o	DET	O
	lacre	NOUN	O
	rompido	VERB	O
	;	PUNCT	O
	3	NUM	O
	.	PUNCT	O
Sentence: 44	a	DET	O
	caixa	NOUN	O
	veio	VERB	O
	no	ADP	O
	meu	DET	O
	endereço	NOUN	O
	em	ADP	O
	nome	NOUN	O
	de	ADP	O
	uma	DET	O
	pessoa	NOUN	O
	que	PRON	O
	não	ADV	O
	conheço	VERB	O
	;	PUNCT	O
	4	NUM	O
	.	PUNCT	O
Sentence: 45	não	ADV	O
	veio	VERB	O
	nem	CCONJ	O
	um	NUM	O
	dos	ADP	O
	folhetos	NOUN	O
	explicativos	ADJ	O
	nem	CCONJ	O
	a	DET	O
	senha	NOUN	O
	para	ADP	O
	o	DET	O
	ano	NOUN	O
	gratuito	ADJ	O
	na	ADP	O
	loja	NOUN	O
	de	ADP	O
	música	NOUN	B-asp
	da	ADP	O
	Nokia	PROPN	O
	;	PUNCT	O
	segundo	ADP	O
	eles	PRON	O
	,	PUNCT	O
	eles	PRON	O
	compram	VERB	O
	de	ADP	O
	"	PUNCT	O
	importadores	NOUN	O
	independentes	ADJ	O
	"	PUNCT	O
	(	PUNCT	O
	?	PUNCT	O
	?	PUNCT	O
	?	PUNCT	O
	)	PUNCT	O
Sentence: 46	que	PRON	O
	não	ADV	O
	oferecem	VERB	O
	esse	DET	O
	brinde	NOUN	O
	.	PUNCT	O
Sentence: 47	Além	ADV	O
	disso	PRON	O
	:	PUNCT	O
	o	DET	O
	WiFi	PROPN	O
	não	ADV	O
	funcionava	VERB	O
	em	ADP	O
	todos	DET	O
	os	DET	O
	lugares	NOUN	O
	,	PUNCT	O
	assim	ADV	O
	como	ADP	O
	o	DET	O
	bluetooth	NOUN	B-asp
	.	PUNCT	O
Sentence: 48	Conclusão	NOUN	O
	:	PUNCT	O
	se	SCONJ	O
	eu	PRON	O
	resolvesse	VERB	O
	ficar	VERB	O
	sem	ADP	O
	o	DET	O
	ano	NOUN	O
	gratuito	ADJ	O
	na	ADP	O
	loja	NOUN	O
	de	ADP	O
	música	NOUN	B-asp
	,	PUNCT	O
	eu	PRON	O
	ia	AUX	O
	ter	AUX	O
	que	SCONJ	O
	levar	VERB	O
	o	DET	O
	celular	NOUN	O
	na	ADP	O
	assistência	NOUN	O
	técnica	ADJ	O
	,	PUNCT	O
	que	PRON	O
	só	ADV	O
	tem	VERB	O
	2	NUM	O
	locais	NOUN	O
	em	ADP	O
	São	PROPN	O
	Paulo	PROPN	O
	(	PUNCT	O
	Guarulhos	PROPN	O
	e	CCONJ	O
	Zona	PROPN	O
	Leste	PROPN	O
	)	PUNCT	O
	...	PUNCT	O
Sentence: 49	Conclusão	NOUN	O
	:	PUNCT	O
	devolvi	VERB	O
	o	DET	O
	produto	NOUN	B-asp
	.	PUNCT	O
Sentence: 50	Depois	ADV	O
	de	ADP	O
	pagar	VERB	O
	mais	ADV	O
	de	ADP	O
	R$	SYM	O
	30	NUM	O
	de	ADP	O
	sedex	NOUN	O
	e	CCONJ	O
	ter	VERB	O
	que	SCONJ	O
	ligar	VERB	O
	diariamente	ADV	O
	por	ADP	O
	5	NUM	O
	dias	NOUN	O
	úteis	ADJ	O
	cobrando	VERB	O
	meu	DET	O
	dinheiro	NOUN	O
	,	PUNCT	O
	recebi	VERB	O
	o	DET	O
	dinheiro	NOUN	O
	da	ADP	O
	compra	NOUN	O
	integral	ADJ	O
	de	ADP	O
	volta	NOUN	O
	após	SCONJ	O
	ter	AUX	O
	ficado	VERB	O
	com	ADP	O
	o	DET	O
	aparelho	NOUN	O
	1	NUM	O
	semana	NOUN	O
	.	PUNCT	O
Sentence: 51	Foi	AUX	O
	uma	DET	O
	novela	NOUN	O
	infeliz	ADJ	O
	!	PUNCT	O
Sentence: 52	 	SPACE	O
	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Todas	DET	O
	as	DET	O
	funcionalidades	NOUN	O
	desejáveis	ADJ	O
	para	SCONJ	O
	quem	PRON	O
	usa	VERB	O
	o	DET	O
	celular	NOUN	O
	principalmente	ADV	O
	para	SCONJ	O
	ouvir	VERB	O
	música	NOUN	B-asp
	e	CCONJ	O
	navegar	VERB	B-asp
	na	ADP	I-asp
	internet	PROPN	I-asp
	(	PUNCT	O
	tela	NOUN	B-asp
	grande	ADJ	O
	,	PUNCT	O
	botão	NOUN	B-asp
	de	ADP	I-asp
	liga	NOUN	O
	/	PUNCT	O
	desliga	VERB	O
	a	DET	O
	mídia	NOUN	O
	,	PUNCT	O
	botão	NOUN	B-asp
	de	ADP	I-asp
	bloqueio	NOUN	O
	/	PUNCT	O
	desbloqueio	NOUN	O
	de	ADP	O
	tela	NOUN	B-asp
	,	PUNCT	O
	WiFi	PROPN	O
	)	PUNCT	O
	.	PUNCT	O
Sentence: 53	 	SPACE	O
	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Meio	NOUN	O
	pesado	VERB	B-asp
	e	CCONJ	O
	com	ADP	O
	a	DET	O
	pega	NOUN	O
	desajeitada	VERB	O
	.	PUNCT	O
Sentence: 54	A	DET	O
	alça	NOUN	O
	de	SCONJ	O
	prender	VERB	O
	fica	VERB	O
	embaixo	ADV	O
	,	PUNCT	O
	e	CCONJ	O
	não	ADV	O
	em	ADP	O
	cima	NOUN	O
	.	PUNCT	O
Sentence: 55	Câmera	PROPN	B-asp
	de	ADP	O
	5MP	PROPN	O
	,	PUNCT	O
	cobertura	NOUN	O
	deslizante	ADJ	O
	p/	PUNCT	O
	a	DET	O
	lente	NOUN	O
	,	PUNCT	O
	flash	NOUN	O
	de	ADP	O
	xênon	NOUN	O
	(	PUNCT	O
	o	DET	O
	flash	NOUN	O
	ilumina	VERB	O
	muito	ADV	O
	bem	ADV	O
	,	PUNCT	O
	e	CCONJ	O
	comprar	VERB	O
	com	ADP	O
	um	NUM	O
	a	DET	O
	câmera	NOUN	B-asp
	comum	ADJ	O
	)	PUNCT	O
	luz	NOUN	O
	de	ADP	O
	auto	PROPN	B-asp
	foco	NOUN	I-asp
	,	PUNCT	O
	cabo	NOUN	O
	para	ADP	O
	TV	NOUN	O
	para	SCONJ	O
	ver	VERB	O
	as	DET	O
	imagens	NOUN	O
	na	ADP	O
	tela	NOUN	O
	grande	ADJ	O
	é	AUX	O
	um	DET	O
	celular	NOUN	B-asp
	completo	ADJ	O
	internet	PROPN	B-asp
	,	PUNCT	O
	e-mail	NOUN	B-asp
	e	CCONJ	O
	radio	PROPN	B-asp
	FM	PROPN	O
	.	PUNCT	O
Sentence: 56	Ela	PRON	O
	tem	VERB	O
	tudo	PRON	O
	isso	PRON	O
	,	PUNCT	O
	mas	CCONJ	O
	com	ADP	O
	designer	NOUN	B-asp
	inteligente	ADJ	O
	do	ADP	O
	lado	NOUN	O
	do	ADP	O
	visor	NOUN	B-asp
	é	AUX	O
	só	ADV	O
	celular	NOUN	B-asp
	nem	CCONJ	O
	da	ADP	O
	p/	VERB	O
	saber	VERB	O
	que	SCONJ	O
	é	AUX	O
	uma	DET	O
	câmera	NOUN	B-asp
	.	PUNCT	O
Sentence: 57	Qndo	PROPN	O
	vc	PRON	O
	vira	VERB	O
	nem	CCONJ	O
	dar	VERB	O
	p/	PUNCT	O
	saber	VERB	O
	que	SCONJ	O
	é	AUX	O
	um	DET	O
	celular	NOUN	B-asp
	porque	SCONJ	O
	parece	VERB	O
	uma	DET	O
	câmera	NOUN	B-asp
	p/	PUNCT	O
	ligar	VERB	O
	a	DET	O
	câmera	NOUN	B-asp
	basta	VERB	O
	abrir	VERB	O
	a	DET	O
	cobertura	NOUN	O
	da	ADP	O
	lente	NOUN	O
	o	DET	O
	botão	NOUN	O
	o	DET	O
	obturador	NOUN	O
	fica	VERB	O
	ao	ADP	O
	lado	NOUN	O
	quando	ADV	O
	vc	PROPN	O
	deita	VERB	O
	o	DET	O
	celular	NOUN	B-asp
	fica	VERB	O
	igual	ADJ	O
	a	ADP	O
	uma	DET	O
	câmera	NOUN	B-asp
	.	PUNCT	O
Sentence: 58	Tem	VERB	O
	um	DET	O
	obturador	NOUN	O
	mecânico	ADJ	O
	de	ADP	O
	verdade	NOUN	O
	,	PUNCT	O
	auto	ADJ	B-asp
	foco	NOUN	I-asp
	de	ADP	O
	verdade	NOUN	O
	e	CCONJ	O
	um	DET	O
	monte	NOUN	O
	de	ADP	O
	controles	NOUN	O
	manuais	ADJ	O
	como	ADP	O
	uma	DET	O
	câmera	NOUN	B-asp
	.	PUNCT	O
Sentence: 59	Um	DET	O
	recurso	NOUN	B-asp
	que	PRON	O
	é	AUX	O
	bem	ADV	O
	legal	ADJ	O
	e	CCONJ	O
	foto	NOUN	B-asp
	panorama	NOUN	I-asp
	,	PUNCT	O
	vc	PROPN	O
	só	ADV	O
	tem	AUX	O
	que	SCONJ	O
	alinhar	VERB	O
	a	DET	O
	primeira	ADJ	O
	foto	NOUN	O
	e	CCONJ	O
	aperta	VERB	O
	o	DET	O
	obturador	NOUN	O
	depois	ADV	O
	a	DET	O
	câmera	NOUN	B-asp
	detecta	VERB	O
	o	DET	O
	momento	NOUN	O
	certo	ADJ	O
	de	SCONJ	O
	tira	VERB	O
	as	DET	O
	próximas	ADJ	O
	fotos	NOUN	O
	e	CCONJ	O
	depois	ADV	O
	ela	PRON	O
	emenda	NOUN	O
	todas	DET	O
	as	DET	O
	fotos	NOUN	O
	e	CCONJ	O
	cria	VERB	O
	um	DET	O
	foto	NOUN	O
	só	ADV	O
	,	PUNCT	O
	ou	CCONJ	O
	seja	VERB	O
	,	PUNCT	O
	ela	PRON	O
	junta	VERB	O
	três	NUM	O
	fotos	NOUN	O
	à	ADP	O
	imagem	NOUN	B-asp
	fica	VERB	O
	bastante	ADV	O
	grande	ADJ	O
	...	PUNCT	O
Sentence: 60	O	DET	O
	legal	NOUN	O
	é	AUX	O
	qndo	NOUN	O
	vc	PRON	O
	usa	VERB	O
	a	DET	O
	câmera	NOUN	B-asp
	as	DET	O
	tecla	NOUN	O
	numérica	ADJ	O
	se	PRON	O
	apagão	NOUN	O
	e	CCONJ	O
	aparecem	VERB	O
	outros	DET	O
	botões	NOUN	B-asp
	próprios	ADJ	O
	para	ADP	O
	a	DET	O
	câmera	NOUN	B-asp
	vc	PRON	O
	pode	VERB	O
	tirar	VERB	O
	a	DET	O
	foto	NOUN	O
	e	CCONJ	O
	enviar	VERB	O
	via	NOUN	O
	internet	NOUN	B-asp
	ou	CCONJ	O
	rede	NOUN	O
	WI-FI	ADJ	O
	.	PUNCT	O
Sentence: 61	A	DET	O
	foto	NOUN	O
	tirada	VERB	O
	pode	VERB	O
	ser	AUX	O
	revelada	VERB	O
	com	ADP	O
	até	ADP	O
	+	NOUN	O
	ou	CCONJ	O
	-	PUNCT	O
	40	NUM	O
	centímetros	NOUN	O
	,	PUNCT	O
	qualidade	NOUN	B-asp
	de	ADP	I-asp
	som	NOUN	I-asp
	excelente	ADJ	O
	Mp3	NOUN	O
	aceita	VERB	O
	SD	PROPN	O
	de	ADP	O
	memória	NOUN	O
	até	ADP	O
	4	NUM	O
	gb	NOUN	O
	e	CCONJ	O
	memória	NOUN	B-asp
	interna	ADJ	I-asp
	é	AUX	O
	de	ADP	O
